"TEV";"MHO";"MG05";"MG02";"MG58";"GADC041"
"2025";"01";"Bácsalmás közút";"Belgium";"Belépő";52
"2025";"01";"Bácsalmás közút";"Belgium";"Kilépő";4
"2025";"01";"Bácsalmás közút";"Bosznia-Hercegovina";"Belépő";1
"2025";"01";"Bácsalmás közút";"Bulgária";"Belépő";177
"2025";"01";"Bácsalmás közút";"Bulgária";"Kilépő";15
"2025";"01";"Bácsalmás közút";"Csehország";"Belépő";58
"2025";"01";"Bácsalmás közút";"Csehország";"Kilépő";3
"2025";"01";"Bácsalmás közút";"Dánia";"Belépő";4
"2025";"01";"Bácsalmás közút";"Észak-Macedónia";"Belépő";7
"2025";"01";"Bácsalmás közút";"Finnország";"Belépő";5
"2025";"01";"Bácsalmás közút";"Finnország";"Kilépő";3
"2025";"01";"Bácsalmás közút";"Franciaország";"Belépő";62
"2025";"01";"Bácsalmás közút";"Franciaország";"Kilépő";2
"2025";"01";"Bácsalmás közút";"Görögország";"Belépő";32
"2025";"01";"Bácsalmás közút";"Görögország";"Kilépő";4
"2025";"01";"Bácsalmás közút";"Hollandia";"Belépő";75
"2025";"01";"Bácsalmás közút";"Hollandia";"Kilépő";8
"2025";"01";"Bácsalmás közút";"Horvátország";"Belépő";587
"2025";"01";"Bácsalmás közút";"Horvátország";"Kilépő";86
"2025";"01";"Bácsalmás közút";"Irország";"Belépő";3
"2025";"01";"Bácsalmás közút";"Irország";"Kilépő";2
"2025";"01";"Bácsalmás közút";"Kenya";"Belépő";1
"2025";"01";"Bácsalmás közút";"Kenya";"Kilépő";1
"2025";"01";"Bácsalmás közút";"Koszovo";"Belépő";1
"2025";"01";"Bácsalmás közút";"Lengyelország";"Belépő";42
"2025";"01";"Bácsalmás közút";"Lengyelország";"Kilépő";16
"2025";"01";"Bácsalmás közút";"Luxemburg";"Belépő";16
"2025";"01";"Bácsalmás közút";"Magyarország";"Belépő";8349
"2025";"01";"Bácsalmás közút";"Magyarország";"Kilépő";5472
"2025";"01";"Bácsalmás közút";"Németország";"Belépő";870
"2025";"01";"Bácsalmás közút";"Németország";"Kilépő";24
"2025";"01";"Bácsalmás közút";"Olaszország";"Belépő";43
"2025";"01";"Bácsalmás közút";"Olaszország";"Kilépő";6
"2025";"01";"Bácsalmás közút";"Portugália";"Belépő";6
"2025";"01";"Bácsalmás közút";"Románia";"Belépő";71
"2025";"01";"Bácsalmás közút";"Románia";"Kilépő";23
"2025";"01";"Bácsalmás közút";"Spanyolország";"Belépő";4
"2025";"01";"Bácsalmás közút";"Spanyolország";"Kilépő";1
"2025";"01";"Bácsalmás közút";"Svájc";"Belépő";126
"2025";"01";"Bácsalmás közút";"Svájc";"Kilépő";1
"2025";"01";"Bácsalmás közút";"Svédország";"Belépő";10
"2025";"01";"Bácsalmás közút";"Svédország";"Kilépő";2
"2025";"01";"Bácsalmás közút";"Szerbia";"Belépő";7022
"2025";"01";"Bácsalmás közút";"Szerbia";"Kilépő";1031
"2025";"01";"Bácsalmás közút";"Szlovákia";"Belépő";117
"2025";"01";"Bácsalmás közút";"Szlovákia";"Kilépő";13
"2025";"01";"Bácsalmás közút";"Szlovénia";"Belépő";52
"2025";"01";"Bácsalmás közút";"Szlovénia";"Kilépő";11
"2025";"01";"Bácsalmás közút";"Törökország";"Belépő";3
"2025";"01";"Bácsszentgyörgy közút";"Ausztria";"Belépő";304
"2025";"01";"Bácsszentgyörgy közút";"Ausztria";"Kilépő";40
"2025";"01";"Bácsszentgyörgy közút";"Belgium";"Belépő";7
"2025";"01";"Bácsszentgyörgy közút";"Bulgária";"Belépő";15
"2025";"01";"Bácsszentgyörgy közút";"Csehország";"Belépő";6
"2025";"01";"Bácsszentgyörgy közút";"Csehország";"Kilépő";1
"2025";"01";"Bácsszentgyörgy közút";"Franciaország";"Belépő";7
"2025";"01";"Bácsszentgyörgy közút";"Franciaország";"Kilépő";2
"2025";"01";"Bácsszentgyörgy közút";"Görögország";"Belépő";4
"2025";"01";"Bácsszentgyörgy közút";"Görögország";"Kilépő";2
"2025";"01";"Bácsszentgyörgy közút";"Hollandia";"Belépő";8
"2025";"01";"Bácsszentgyörgy közút";"Horvátország";"Belépő";324
"2025";"01";"Bácsszentgyörgy közút";"Horvátország";"Kilépő";119
"2025";"01";"Bácsszentgyörgy közút";"Irország";"Belépő";1
"2025";"01";"Bácsszentgyörgy közút";"Irország";"Kilépő";3
"2025";"01";"Bácsszentgyörgy közút";"Lengyelország";"Belépő";3
"2025";"01";"Bácsszentgyörgy közút";"Luxemburg";"Belépő";10
"2025";"01";"Bácsszentgyörgy közút";"Magyarország";"Belépő";1396
"2025";"01";"Bácsszentgyörgy közút";"Magyarország";"Kilépő";1010
"2025";"01";"Bácsszentgyörgy közút";"Németország";"Belépő";147
"2025";"01";"Bácsszentgyörgy közút";"Németország";"Kilépő";20
"2025";"01";"Bácsszentgyörgy közút";"Norvégia";"Belépő";16
"2025";"01";"Bácsszentgyörgy közút";"Norvégia";"Kilépő";2
"2025";"01";"Bácsszentgyörgy közút";"Olaszország";"Belépő";11
"2025";"01";"Bácsszentgyörgy közút";"Olaszország";"Kilépő";3
"2025";"01";"Bácsszentgyörgy közút";"Románia";"Belépő";10
"2025";"01";"Bácsszentgyörgy közút";"Románia";"Kilépő";3
"2025";"01";"Bácsszentgyörgy közút";"Spanyolország";"Belépő";1
"2025";"01";"Bácsszentgyörgy közút";"Svájc";"Belépő";20
"2025";"01";"Bácsszentgyörgy közút";"Svájc";"Kilépő";2
"2025";"01";"Bácsszentgyörgy közút";"Svédország";"Belépő";8
"2025";"01";"Bácsszentgyörgy közút";"Svédország";"Kilépő";4
"2025";"01";"Bácsszentgyörgy közút";"Szerbia";"Belépő";2766
"2025";"01";"Bácsszentgyörgy közút";"Szerbia";"Kilépő";663
"2025";"01";"Bácsszentgyörgy közút";"Szlovákia";"Belépő";167
"2025";"01";"Bácsszentgyörgy közút";"Szlovákia";"Kilépő";27
"2025";"01";"Bácsszentgyörgy közút";"Szlovénia";"Belépő";4
"2025";"01";"Bácsszentgyörgy közút";"Szlovénia";"Kilépő";2
"2025";"01";"Barabás közút";"Afganisztán";"Belépő";4
"2025";"01";"Barabás közút";"Albánia";"Belépő";1
"2025";"01";"Barabás közút";"Argentina";"Belépő";1
"2025";"01";"Barabás közút";"Ausztrália";"Belépő";2
"2025";"01";"Barabás közút";"Ausztrália";"Kilépő";2
"2025";"01";"Barabás közút";"Ausztria";"Belépő";28
"2025";"01";"Barabás közút";"Ausztria";"Kilépő";24
"2025";"01";"Barabás közút";"Azerbajdzsán";"Belépő";4
"2025";"01";"Barabás közút";"Azerbajdzsán";"Kilépő";2
"2025";"01";"Barabás közút";"Belgium";"Belépő";1
"2025";"01";"Barabás közút";"Bulgária";"Belépő";6
"2025";"01";"Barabás közút";"Bulgária";"Kilépő";4
"2025";"01";"Barabás közút";"Columbia";"Belépő";1
"2025";"01";"Barabás közút";"Columbia";"Kilépő";1
"2025";"01";"Barabás közút";"Csehország";"Belépő";16
"2025";"01";"Barabás közút";"Csehország";"Kilépő";2
"2025";"01";"Barabás közút";"Dánia";"Belépő";1
"2025";"01";"Barabás közút";"Egyesült Királyság";"Belépő";9
"2025";"01";"Barabás közút";"Egyesült Királyság";"Kilépő";1
"2025";"01";"Barabás közút";"Észak-Macedónia";"Kilépő";1
"2025";"01";"Barabás közút";"Észtország";"Belépő";1
"2025";"01";"Barabás közút";"Fehéroroszország";"Belépő";1
"2025";"01";"Barabás közút";"Franciaország";"Belépő";6
"2025";"01";"Barabás közút";"Franciaország";"Kilépő";3
"2025";"01";"Barabás közút";"Fülöp-szigetek";"Kilépő";1
"2025";"01";"Barabás közút";"Görögország";"Belépő";1
"2025";"01";"Barabás közút";"Görögország";"Kilépő";1
"2025";"01";"Barabás közút";"Grúzia";"Belépő";4
"2025";"01";"Barabás közút";"Grúzia";"Kilépő";5
"2025";"01";"Barabás közút";"Hollandia";"Belépő";8
"2025";"01";"Barabás közút";"Hollandia";"Kilépő";6
"2025";"01";"Barabás közút";"Horvátország";"Belépő";15
"2025";"01";"Barabás közút";"Horvátország";"Kilépő";6
"2025";"01";"Barabás közút";"Irán";"Belépő";1
"2025";"01";"Barabás közút";"Izrael";"Belépő";17
"2025";"01";"Barabás közút";"Izrael";"Kilépő";6
"2025";"01";"Barabás közút";"Jordánia";"Belépő";1
"2025";"01";"Barabás közút";"Kanada";"Belépő";2
"2025";"01";"Barabás közút";"Kanada";"Kilépő";3
"2025";"01";"Barabás közút";"Kina";"Belépő";2
"2025";"01";"Barabás közút";"Kina";"Kilépő";1
"2025";"01";"Barabás közút";"Kirgizisztán";"Belépő";2
"2025";"01";"Barabás közút";"Lengyelország";"Belépő";1
"2025";"01";"Barabás közút";"Lettország";"Belépő";2
"2025";"01";"Barabás közút";"Lettország";"Kilépő";1
"2025";"01";"Barabás közút";"Magyarország";"Belépő";7994
"2025";"01";"Barabás közút";"Magyarország";"Kilépő";6983
"2025";"01";"Barabás közút";"Moldávia";"Belépő";8
"2025";"01";"Barabás közút";"Moldávia";"Kilépő";5
"2025";"01";"Barabás közút";"Németország";"Belépő";40
"2025";"01";"Barabás közút";"Németország";"Kilépő";14
"2025";"01";"Barabás közút";"Nepál";"Belépő";1
"2025";"01";"Barabás közút";"Olaszország";"Belépő";30
"2025";"01";"Barabás közút";"Olaszország";"Kilépő";13
"2025";"01";"Barabás közút";"Oroszország";"Belépő";13
"2025";"01";"Barabás közút";"Oroszország";"Kilépő";3
"2025";"01";"Barabás közút";"Örményország";"Kilépő";2
"2025";"01";"Barabás közút";"Pakisztán";"Belépő";2
"2025";"01";"Barabás közút";"Portugália";"Belépő";7
"2025";"01";"Barabás közút";"Portugália";"Kilépő";4
"2025";"01";"Barabás közút";"Románia";"Belépő";10
"2025";"01";"Barabás közút";"Románia";"Kilépő";2
"2025";"01";"Barabás közút";"Spanyolország";"Belépő";2
"2025";"01";"Barabás közút";"Svájc";"Kilépő";3
"2025";"01";"Barabás közút";"Szerbia";"Belépő";3
"2025";"01";"Barabás közút";"Szerbia";"Kilépő";3
"2025";"01";"Barabás közút";"Szlovákia";"Belépő";15
"2025";"01";"Barabás közút";"Szlovákia";"Kilépő";5
"2025";"01";"Barabás közút";"Szlovénia";"Belépő";12
"2025";"01";"Barabás közút";"Szlovénia";"Kilépő";2
"2025";"01";"Barabás közút";"Szudán";"Kilépő";1
"2025";"01";"Barabás közút";"Törökország";"Belépő";1
"2025";"01";"Barabás közút";"Ukrajna";"Belépő";6727
"2025";"01";"Barabás közút";"Ukrajna";"Kilépő";4266
"2025";"01";"Barabás közút";"USA";"Belépő";9
"2025";"01";"Barabás közút";"USA";"Kilépő";12
"2025";"01";"Barabás közút";"Üzbegisztán";"Belépő";1
"2025";"01";"Barabás közút";"Vietnám";"Belépő";1
"2025";"01";"Barabás közút";"Vietnám";"Kilépő";1
"2025";"01";"Beregsurány közút";"Afganisztán";"Belépő";3
"2025";"01";"Beregsurány közút";"Afganisztán";"Kilépő";1
"2025";"01";"Beregsurány közút";"Albánia";"Belépő";6
"2025";"01";"Beregsurány közút";"Albánia";"Kilépő";4
"2025";"01";"Beregsurány közút";"Argentina";"Kilépő";1
"2025";"01";"Beregsurány közút";"Ausztrália";"Belépő";1
"2025";"01";"Beregsurány közút";"Ausztrália";"Kilépő";6
"2025";"01";"Beregsurány közút";"Ausztria";"Belépő";53
"2025";"01";"Beregsurány közút";"Ausztria";"Kilépő";26
"2025";"01";"Beregsurány közút";"Azerbajdzsán";"Belépő";6
"2025";"01";"Beregsurány közút";"Azerbajdzsán";"Kilépő";2
"2025";"01";"Beregsurány közút";"Belgium";"Belépő";6
"2025";"01";"Beregsurány közút";"Belgium";"Kilépő";3
"2025";"01";"Beregsurány közút";"Bosznia-Hercegovina";"Belépő";8
"2025";"01";"Beregsurány közút";"Bosznia-Hercegovina";"Kilépő";5
"2025";"01";"Beregsurány közút";"Brazilia";"Belépő";1
"2025";"01";"Beregsurány közút";"Bulgária";"Belépő";11
"2025";"01";"Beregsurány közút";"Bulgária";"Kilépő";7
"2025";"01";"Beregsurány közút";"Ciprus";"Kilépő";2
"2025";"01";"Beregsurány közút";"Columbia";"Belépő";1
"2025";"01";"Beregsurány közút";"Csehország";"Belépő";50
"2025";"01";"Beregsurány közút";"Csehország";"Kilépő";37
"2025";"01";"Beregsurány közút";"Dánia";"Belépő";2
"2025";"01";"Beregsurány közút";"Dánia";"Kilépő";3
"2025";"01";"Beregsurány közút";"Ecuador";"Belépő";1
"2025";"01";"Beregsurány közút";"Egyesült Királyság";"Belépő";18
"2025";"01";"Beregsurány közút";"Egyesült Királyság";"Kilépő";15
"2025";"01";"Beregsurány közút";"Egyiptomi Arab Közt.";"Belépő";1
"2025";"01";"Beregsurány közút";"Egyiptomi Arab Közt.";"Kilépő";2
"2025";"01";"Beregsurány közút";"Észak-Macedónia";"Belépő";2
"2025";"01";"Beregsurány közút";"Észak-Macedónia";"Kilépő";4
"2025";"01";"Beregsurány közút";"Észtország";"Belépő";1
"2025";"01";"Beregsurány közút";"Észtország";"Kilépő";1
"2025";"01";"Beregsurány közút";"Fehéroroszország";"Belépő";3
"2025";"01";"Beregsurány közút";"Fehéroroszország";"Kilépő";9
"2025";"01";"Beregsurány közút";"Franciaország";"Belépő";16
"2025";"01";"Beregsurány közút";"Franciaország";"Kilépő";21
"2025";"01";"Beregsurány közút";"Görögország";"Belépő";15
"2025";"01";"Beregsurány közút";"Görögország";"Kilépő";5
"2025";"01";"Beregsurány közút";"Grenada";"Kilépő";1
"2025";"01";"Beregsurány közút";"Grúzia";"Belépő";7
"2025";"01";"Beregsurány közút";"Grúzia";"Kilépő";12
"2025";"01";"Beregsurány közút";"Hollandia";"Belépő";13
"2025";"01";"Beregsurány közút";"Hollandia";"Kilépő";16
"2025";"01";"Beregsurány közút";"Hontalan";"Belépő";1
"2025";"01";"Beregsurány közút";"Hontalan";"Kilépő";1
"2025";"01";"Beregsurány közút";"Horvátország";"Belépő";17
"2025";"01";"Beregsurány közút";"Horvátország";"Kilépő";22
"2025";"01";"Beregsurány közút";"India";"Belépő";3
"2025";"01";"Beregsurány közút";"India";"Kilépő";3
"2025";"01";"Beregsurány közút";"Irán";"Belépő";3
"2025";"01";"Beregsurány közút";"Irán";"Kilépő";3
"2025";"01";"Beregsurány közút";"Irország";"Belépő";3
"2025";"01";"Beregsurány közút";"Izrael";"Belépő";48
"2025";"01";"Beregsurány közút";"Izrael";"Kilépő";27
"2025";"01";"Beregsurány közút";"Japán";"Belépő";1
"2025";"01";"Beregsurány közút";"Jordánia";"Belépő";2
"2025";"01";"Beregsurány közút";"Jordánia";"Kilépő";2
"2025";"01";"Beregsurány közút";"Kanada";"Belépő";13
"2025";"01";"Beregsurány közút";"Kanada";"Kilépő";4
"2025";"01";"Beregsurány közút";"Kazahsztán";"Belépő";1
"2025";"01";"Beregsurány közút";"Kazahsztán";"Kilépő";4
"2025";"01";"Beregsurány közút";"Kina";"Belépő";5
"2025";"01";"Beregsurány közút";"Kina";"Kilépő";7
"2025";"01";"Beregsurány közút";"Koreai Közt.";"Kilépő";2
"2025";"01";"Beregsurány közút";"Koszovo";"Belépő";3
"2025";"01";"Beregsurány közút";"Koszovo";"Kilépő";3
"2025";"01";"Beregsurány közút";"Lengyelország";"Belépő";15
"2025";"01";"Beregsurány közút";"Lengyelország";"Kilépő";13
"2025";"01";"Beregsurány közút";"Lettország";"Belépő";3
"2025";"01";"Beregsurány közút";"Lettország";"Kilépő";5
"2025";"01";"Beregsurány közút";"Libanon";"Belépő";1
"2025";"01";"Beregsurány közút";"Litvánia";"Belépő";9
"2025";"01";"Beregsurány közút";"Litvánia";"Kilépő";3
"2025";"01";"Beregsurány közút";"Luxemburg";"Belépő";2
"2025";"01";"Beregsurány közút";"Luxemburg";"Kilépő";2
"2025";"01";"Beregsurány közút";"Magyarország";"Belépő";12435
"2025";"01";"Beregsurány közút";"Magyarország";"Kilépő";14124
"2025";"01";"Beregsurány közút";"Málta";"Belépő";1
"2025";"01";"Beregsurány közút";"Marokkó";"Belépő";1
"2025";"01";"Beregsurány közút";"Marokkó";"Kilépő";1
"2025";"01";"Beregsurány közút";"Moldávia";"Belépő";46
"2025";"01";"Beregsurány közút";"Moldávia";"Kilépő";42
"2025";"01";"Beregsurány közút";"Monaco";"Belépő";1
"2025";"01";"Beregsurány közút";"Montenegró (Crna-gora)";"Kilépő";2
"2025";"01";"Beregsurány közút";"Németország";"Belépő";170
"2025";"01";"Beregsurány közút";"Németország";"Kilépő";109
"2025";"01";"Beregsurány közút";"Nigéria";"Belépő";1
"2025";"01";"Beregsurány közút";"Nigéria";"Kilépő";1
"2025";"01";"Beregsurány közút";"Olaszország";"Belépő";394
"2025";"01";"Beregsurány közút";"Olaszország";"Kilépő";177
"2025";"01";"Beregsurány közút";"Oroszország";"Belépő";34
"2025";"01";"Beregsurány közút";"Oroszország";"Kilépő";25
"2025";"01";"Beregsurány közút";"Örményország";"Belépő";5
"2025";"01";"Beregsurány közút";"Örményország";"Kilépő";1
"2025";"01";"Beregsurány közút";"Palesztinai Autonóm Terület";"Belépő";1
"2025";"01";"Beregsurány közút";"Portugália";"Belépő";20
"2025";"01";"Beregsurány közút";"Portugália";"Kilépő";4
"2025";"01";"Beregsurány közút";"Románia";"Belépő";100
"2025";"01";"Beregsurány közút";"Románia";"Kilépő";103
"2025";"01";"Beregsurány közút";"Spanyolország";"Belépő";8
"2025";"01";"Beregsurány közút";"Spanyolország";"Kilépő";5
"2025";"01";"Beregsurány közút";"Svájc";"Belépő";11
"2025";"01";"Beregsurány közút";"Svájc";"Kilépő";12
"2025";"01";"Beregsurány közút";"Svédország";"Belépő";1
"2025";"01";"Beregsurány közút";"Svédország";"Kilépő";1
"2025";"01";"Beregsurány közút";"Szerbia";"Belépő";20
"2025";"01";"Beregsurány közút";"Szerbia";"Kilépő";14
"2025";"01";"Beregsurány közút";"Sziria";"Kilépő";1
"2025";"01";"Beregsurány közút";"Szlovákia";"Belépő";45
"2025";"01";"Beregsurány közút";"Szlovákia";"Kilépő";28
"2025";"01";"Beregsurány közút";"Szlovénia";"Belépő";24
"2025";"01";"Beregsurány közút";"Szlovénia";"Kilépő";19
"2025";"01";"Beregsurány közút";"Tajvan";"Belépő";2
"2025";"01";"Beregsurány közút";"Törökország";"Belépő";11
"2025";"01";"Beregsurány közút";"Törökország";"Kilépő";10
"2025";"01";"Beregsurány közút";"Tunézia";"Belépő";2
"2025";"01";"Beregsurány közút";"Tunézia";"Kilépő";2
"2025";"01";"Beregsurány közút";"Türkmenisztán";"Belépő";1
"2025";"01";"Beregsurány közút";"Ukrajna";"Belépő";17988
"2025";"01";"Beregsurány közút";"Ukrajna";"Kilépő";18887
"2025";"01";"Beregsurány közút";"USA";"Belépő";64
"2025";"01";"Beregsurány közút";"USA";"Kilépő";48
"2025";"01";"Beregsurány közút";"Üzbegisztán";"Kilépő";1
"2025";"01";"Budapest légi I.";"Ausztrália";"Belépő";1
"2025";"01";"Budapest légi I.";"Ausztrália";"Kilépő";1
"2025";"01";"Budapest légi I.";"Ausztria";"Belépő";4
"2025";"01";"Budapest légi I.";"Ausztria";"Kilépő";4
"2025";"01";"Budapest légi I.";"Azerbajdzsán";"Belépő";3
"2025";"01";"Budapest légi I.";"Azerbajdzsán";"Kilépő";3
"2025";"01";"Budapest légi I.";"Bahrein";"Kilépő";1
"2025";"01";"Budapest légi I.";"Belgium";"Kilépő";1
"2025";"01";"Budapest légi I.";"Brazilia";"Belépő";2
"2025";"01";"Budapest légi I.";"Brazilia";"Kilépő";1
"2025";"01";"Budapest légi I.";"Bulgária";"Belépő";3
"2025";"01";"Budapest légi I.";"Ciprus";"Belépő";1
"2025";"01";"Budapest légi I.";"Costa-Rica";"Kilépő";4
"2025";"01";"Budapest légi I.";"Dánia";"Belépő";1
"2025";"01";"Budapest légi I.";"Dél-Afrikai Közt.";"Kilépő";2
"2025";"01";"Budapest légi I.";"Egyesült Arab Emirségek";"Belépő";1
"2025";"01";"Budapest légi I.";"Egyesült Királyság";"Belépő";8
"2025";"01";"Budapest légi I.";"Egyesült Királyság";"Kilépő";6
"2025";"01";"Budapest légi I.";"Egyiptomi Arab Közt.";"Belépő";2
"2025";"01";"Budapest légi I.";"Egyiptomi Arab Közt.";"Kilépő";2
"2025";"01";"Budapest légi I.";"Észtország";"Belépő";1
"2025";"01";"Budapest légi I.";"Fehéroroszország";"Belépő";1
"2025";"01";"Budapest légi I.";"Franciaország";"Belépő";6
"2025";"01";"Budapest légi I.";"Franciaország";"Kilépő";5
"2025";"01";"Budapest légi I.";"Görögország";"Belépő";2
"2025";"01";"Budapest légi I.";"Görögország";"Kilépő";1
"2025";"01";"Budapest légi I.";"Grúzia";"Kilépő";3
"2025";"01";"Budapest légi I.";"Guatemala";"Belépő";1
"2025";"01";"Budapest légi I.";"Hollandia";"Belépő";4
"2025";"01";"Budapest légi I.";"Hollandia";"Kilépő";1
"2025";"01";"Budapest légi I.";"Horvátország";"Belépő";1
"2025";"01";"Budapest légi I.";"Horvátország";"Kilépő";3
"2025";"01";"Budapest légi I.";"India";"Belépő";1
"2025";"01";"Budapest légi I.";"India";"Kilépő";1
"2025";"01";"Budapest légi I.";"Irország";"Belépő";6
"2025";"01";"Budapest légi I.";"Irország";"Kilépő";1
"2025";"01";"Budapest légi I.";"Ismeretlen, egyéb";"Belépő";1
"2025";"01";"Budapest légi I.";"Izland";"Kilépő";1
"2025";"01";"Budapest légi I.";"Izrael";"Belépő";16
"2025";"01";"Budapest légi I.";"Izrael";"Kilépő";16
"2025";"01";"Budapest légi I.";"Jordánia";"Kilépő";1
"2025";"01";"Budapest légi I.";"Kenya";"Kilépő";1
"2025";"01";"Budapest légi I.";"Kina";"Belépő";49
"2025";"01";"Budapest légi I.";"Kina";"Kilépő";50
"2025";"01";"Budapest légi I.";"Kirgizisztán";"Belépő";8
"2025";"01";"Budapest légi I.";"Kirgizisztán";"Kilépő";2
"2025";"01";"Budapest légi I.";"Koszovo";"Belépő";2
"2025";"01";"Budapest légi I.";"Lengyelország";"Kilépő";5
"2025";"01";"Budapest légi I.";"Lettország";"Belépő";1
"2025";"01";"Budapest légi I.";"Libanon";"Kilépő";1
"2025";"01";"Budapest légi I.";"Magyarország";"Belépő";56
"2025";"01";"Budapest légi I.";"Magyarország";"Kilépő";58
"2025";"01";"Budapest légi I.";"Malaysia";"Belépő";1
"2025";"01";"Budapest légi I.";"Málta";"Kilépő";1
"2025";"01";"Budapest légi I.";"Marokkó";"Kilépő";1
"2025";"01";"Budapest légi I.";"Németország";"Belépő";14
"2025";"01";"Budapest légi I.";"Németország";"Kilépő";7
"2025";"01";"Budapest légi I.";"Norvégia";"Belépő";1
"2025";"01";"Budapest légi I.";"Norvégia";"Kilépő";1
"2025";"01";"Budapest légi I.";"Olaszország";"Belépő";6
"2025";"01";"Budapest légi I.";"Olaszország";"Kilépő";3
"2025";"01";"Budapest légi I.";"Oroszország";"Belépő";2
"2025";"01";"Budapest légi I.";"Oroszország";"Kilépő";2
"2025";"01";"Budapest légi I.";"Portugália";"Belépő";3
"2025";"01";"Budapest légi I.";"Portugália";"Kilépő";2
"2025";"01";"Budapest légi I.";"Románia";"Belépő";4
"2025";"01";"Budapest légi I.";"Spanyolország";"Belépő";5
"2025";"01";"Budapest légi I.";"Spanyolország";"Kilépő";3
"2025";"01";"Budapest légi I.";"Svájc";"Belépő";1
"2025";"01";"Budapest légi I.";"Svájc";"Kilépő";2
"2025";"01";"Budapest légi I.";"Svédország";"Belépő";1
"2025";"01";"Budapest légi I.";"Svédország";"Kilépő";1
"2025";"01";"Budapest légi I.";"Szerbia";"Belépő";9
"2025";"01";"Budapest légi I.";"Szerbia";"Kilépő";10
"2025";"01";"Budapest légi I.";"Szlovákia";"Belépő";2
"2025";"01";"Budapest légi I.";"Szlovákia";"Kilépő";1
"2025";"01";"Budapest légi I.";"Thaiföld";"Kilépő";1
"2025";"01";"Budapest légi I.";"Törökország";"Belépő";7
"2025";"01";"Budapest légi I.";"Törökország";"Kilépő";2
"2025";"01";"Budapest légi I.";"Ukrajna";"Belépő";4
"2025";"01";"Budapest légi I.";"Ukrajna";"Kilépő";4
"2025";"01";"Budapest légi I.";"USA";"Belépő";17
